   8.1413190e-02	   8.6413956e-02	   4.2915270e-01	   1.5931459e+04	   9.1377669e+00	   8.3789859e+00	   9.3639919e+00	   1.0254514e+01	   5.3236582e+00	   6.6577092e+00	   9.1475252e+00	   9.0290711e+00	   9.1946292e+00	   1.0609443e+01	   2.8079650e+01	   4.9986500e+02	
   8.1397939e-02	   6.3780538e-02	   4.9052720e-01	   2.5491668e+04	   9.6579486e+00	   9.4100003e+00	   5.8884183e+00	   7.0663411e+00	   7.9474293e+00	   8.8689224e+00	   8.1455326e+00	   5.7395855e+00	   7.0114542e+00	   6.9758868e+00	   2.2221468e+01	   2.2261023e+02	
   7.5700789e-02	   6.7919919e-02	   4.0806125e-01	   6.3013749e+03	   8.7329094e+00	   5.1485493e+00	   7.4471973e+00	   8.6744125e+00	   4.2065173e+00	   5.5113129e+00	   6.0945612e+00	   6.5865110e+00	   5.2120415e+00	   6.3357639e+00	   1.9272710e+01	   4.3867149e+02	
   7.2580613e-02	   6.2079201e-02	   4.2824029e-01	   1.6443197e+04	   5.4062342e+00	   8.1977014e+00	   6.9185561e+00	   7.8307616e+00	   8.0541643e+00	   8.6377417e+00	   9.1404312e+00	   6.2745048e+00	   7.8476322e+00	   8.0808743e+00	   2.2789860e+01	   4.2108088e+01	
   8.9640419e-02	   9.3041409e-02	   4.6610904e-01	   1.9597031e+04	   9.1317895e+00	   9.3721357e+00	   9.8086233e+00	   8.8344354e+00	   1.0317928e+01	   1.3244014e+01	   8.9810885e+00	   8.5523282e+00	   9.8966454e+00	   8.5028397e+00	   2.9416176e+01	   2.8061775e+02	
   8.0238547e-02	   5.9318215e-02	   4.6436243e-01	   2.4296677e+04	   6.7753786e+00	   7.6184292e+00	   6.3987200e+00	   9.6117134e+00	   6.2112977e+00	   8.2050334e+00	   9.3974526e+00	   9.9544821e+00	   9.9505003e+00	   8.5681487e+00	   2.8240410e+01	   4.1403534e+02	
   6.2296000e-02	   7.3684625e-02	   4.3901833e-01	   6.3226085e+03	   6.5836521e+00	   5.1449874e+00	   4.4960963e+00	   8.1047206e+00	   3.4129671e+00	   6.6395126e+00	   6.8500802e+00	   5.1943817e+00	   4.2458251e+00	   5.8291911e+00	   1.6020523e+01	   4.8241795e+02	
   7.7740413e-02	   6.2639689e-02	   4.5073568e-01	   2.3165395e+04	   8.5180206e+00	   7.7640979e+00	   8.0298603e+00	   7.8700383e+00	   4.1161915e+00	   6.7830009e+00	   7.8139637e+00	   5.8347370e+00	   6.4448317e+00	   7.3249192e+00	   2.1930864e+01	   3.4665131e+02	
   7.2154164e-02	   5.7183278e-02	   4.3723404e-01	   9.0482326e+03	   6.4258710e+00	   3.1775064e+00	   5.7106280e+00	   8.9146045e+00	   4.8550024e+00	   6.4602221e+00	   5.8308251e+00	   5.2879132e+00	   4.8709403e+00	   5.3393287e+00	   1.4155139e+01	   3.8749371e+02	
   7.4060830e-02	   8.7766110e-02	   4.8709202e-01	   2.2400621e+04	   1.5240897e+01	   9.4795062e+00	   7.2978041e+00	   7.7376258e+00	   7.3209690e+00	   1.1292973e+01	   1.0579853e+01	   7.3349421e+00	   6.5407663e+00	   6.6403745e+00	   3.2495312e+01	   2.6442992e+02	
